p0,p0.1,p0.5,p1,p5,Method
2,2,2,2,0,C
4,0,4,4,2,C
0,0,0,0,0,C
4,4,2,4,2,C
0,0,0,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
0,2,0,2,0,C
2,2,2,0,0,C
6,2,4,4,4,C
0,0,0,0,0,C
2,0,0,2,0,C
4,2,4,2,2,C
2,2,2,2,2,C
2,0,0,0,0,C
2,4,2,4,0,C
2,2,0,2,2,C
2,2,2,2,4,C
4,2,0,4,0,C
2,2,2,4,4,C
4,0,0,0,0,C
0,0,0,0,0,C
2,2,0,0,2,C
0,0,2,0,0,C
4,2,2,2,2,C
6,4,2,6,6,C
0,0,2,2,4,C
6,2,0,2,0,C
0,0,0,0,0,C
0,0,0,0,0,C
4,4,4,0,0,C
2,0,0,0,0,C
2,2,2,0,2,C
2,0,0,0,0,C
0,0,0,0,0,C
2,4,0,2,2,C
2,2,0,0,2,C
2,2,2,0,0,C
0,0,0,0,0,C
0,0,0,0,0,C
4,2,4,4,6,C
0,2,2,4,2,C
2,4,4,4,4,C
2,2,2,0,2,C
2,2,2,0,2,C
4,2,2,6,6,C
0,0,0,2,0,C
0,2,0,0,0,C
2,4,4,6,2,C
0,0,0,0,0,C
2,0,0,2,2,S
4,3,2,2,2,S
0,0,0,0,0,S
2,0,1,0,3,S
0,0,0,0,0,S
0,0,0,0,0,S
0,0,0,0,0,S
0,1,0,0,0,S
2,2,0,0,2,S
4,2,2,6,4,S
0,0,0,0,0,S
2,2,2,2,2,S
2,4,2,2,2,S
2,0,2,0,1,S
0,0,0,2,2,S
2,1,0,0,0,S
2,0,0,2,0,S
4,2,2,4,4,S
3,2,4,4,2,S
2,3,4,2,3,S
3,2,3,2,2,S
0,0,0,0,0,S
0,2,0,2,0,S
0,0,0,0,2,S
2,8,8,4,10,S
4,5,3,3,4,S
0,0,2,2,4,S
2,2,2,2,4,S
0,0,0,0,0,S
0,0,0,0,0,S
4,2,0,2,1,S
0,0,0,0,0,S
0,2,2,0,2,S
0,0,0,0,1,S
0,0,0,0,1,S
4,3,3,2,2,S
4,6,6,2,4,S
2,2,0,2,4,S
0,0,0,0,0,S
0,0,0,0,0,S
4,3,6,3,4,S
4,1,3,2,3,S
4,4,3,2,4,S
3,4,1,2,2,S
1,6,3,0,2,S
6,4,2,6,4,S
2,2,2,4,2,S
0,0,0,0,0,S
3,4,4,4,8,S
0,0,0,0,0,S
