p0,p0.1,p0.5,p1,p5
10,8,4,2,6
8,8,8,8,6
10,2,0,4,0
10,8,6,8,8
3,4,4,4,4
10,4,8,8,6
8,8,6,10,6
10,10,4,8,8
4,4,6,4,4
5,6,8,4,6
4,8,4,2,2
3,8,4,2,2
8,6,6,2,6
10,4,8,6,4
6,10,10,6,10
9,2,8,6,4
8,6,6,8,6
8,4,8,6,4
5,4,8,4,4
10,10,10,10,10
10,8,10,4,4
4,4,10,8,4
3,6,2,4,2
10,4,4,2,4
9,8,8,10,10
6,8,8,4,8
6,10,6,8,2
10,10,6,10,10
7,8,6,4,2
5,4,4,2,6
5,10,6,6,6
10,4,6,4,2
6,6,4,8,4
7,2,8,6,4
5,8,2,4,6
5,8,8,10,4
10,8,8,8,6
10,6,4,4,4
5,6,6,4,4
6,6,4,10,6
6,10,10,10,6
6,4,6,8,8
5,6,8,10,6
10,8,8,8,6
6,4,8,6,6
8,8,4,8,6
4,8,8,8,6
0,6,2,8,6
7,4,10,6,8
3,2,4,8,4
