p0,p0.1,p0.5,p1,p5,Method
10,8,4,2,6,C
8,8,8,8,6,C
10,2,0,4,0,C
10,8,6,8,8,C
3,4,4,4,4,C
10,4,8,8,6,C
8,8,6,10,6,C
10,10,4,8,8,C
4,4,6,4,4,C
5,6,8,4,6,C
4,8,4,2,2,C
3,8,4,2,2,C
8,6,6,2,6,C
10,4,8,6,4,C
6,10,10,6,10,C
9,2,8,6,4,C
8,6,6,8,6,C
8,4,8,6,4,C
5,4,8,4,4,C
10,10,10,10,10,C
10,8,10,4,4,C
4,4,10,8,4,C
3,6,2,4,2,C
10,4,4,2,4,C
9,8,8,10,10,C
6,8,8,4,8,C
6,10,6,8,2,C
10,10,6,10,10,C
7,8,6,4,2,C
5,4,4,2,6,C
5,10,6,6,6,C
10,4,6,4,2,C
6,6,4,8,4,C
7,2,8,6,4,C
5,8,2,4,6,C
5,8,8,10,4,C
10,8,8,8,6,C
10,6,4,4,4,C
5,6,6,4,4,C
6,6,4,10,6,C
6,10,10,10,6,C
6,4,6,8,8,C
5,6,8,10,6,C
10,8,8,8,6,C
6,4,8,6,6,C
8,8,4,8,6,C
4,8,8,8,6,C
0,6,2,8,6,C
7,4,10,6,8,C
3,2,4,8,4,C
10,0,4,2,2,S
8,4,4,6,2,S
10,2,2,2,4,S
10,5,6,8,8,S
3,3,3,8,0,S
10,10,6,10,8,S
8,6,10,5,10,S
10,10,5,7,5,S
4,3,8,8,8,S
5,8,5,6,8,S
4,4,7,5,3,S
3,5,6,2,3,S
8,8,6,5,5,S
10,10,7,10,10,S
6,10,6,5,10,S
9,3,4,2,2,S
8,8,5,10,5,S
8,1,10,3,4,S
5,8,4,4,4,S
10,10,8,8,8,S
10,8,9,5,10,S
4,8,5,6,5,S
3,7,4,3,8,S
10,10,5,3,5,S
9,10,8,4,5,S
6,4,6,6,6,S
6,6,7,8,6,S
10,7,6,10,4,S
7,8,5,4,4,S
5,7,5,10,6,S
5,5,10,8,5,S
10,8,5,5,2,S
6,10,10,6,4,S
7,10,6,5,5,S
5,5,8,6,0,S
5,10,5,8,10,S
10,8,8,4,4,S
10,5,5,5,10,S
5,10,10,10,2,S
6,5,7,7,8,S
6,10,6,8,10,S
6,10,8,2,7,S
5,10,6,4,10,S
10,10,8,4,8,S
6,7,5,5,4,S
8,6,8,4,5,S
4,7,7,4,5,S
0,4,4,5,8,S
7,4,4,4,6,S
3,8,8,6,8,S
