p0,p0.1,p0.5,p1,p5
10,0,4,2,2
8,4,4,6,2
10,2,2,2,4
10,5,6,8,8
3,3,3,8,0
10,10,6,10,8
8,6,10,5,10
10,10,5,7,5
4,3,8,8,8
5,8,5,6,8
4,4,7,5,3
3,5,6,2,3
8,8,6,5,5
10,10,7,10,10
6,10,6,5,10
9,3,4,2,2
8,8,5,10,5
8,1,10,3,4
5,8,4,4,4
10,10,8,8,8
10,8,9,5,10
4,8,5,6,5
3,7,4,3,8
10,10,5,3,5
9,10,8,4,5
6,4,6,6,6
6,6,7,8,6
10,7,6,10,4
7,8,5,4,4
5,7,5,10,6
5,5,10,8,5
10,8,5,5,2
6,10,10,6,4
7,10,6,5,5
5,5,8,6,0
5,10,5,8,10
10,8,8,4,4
10,5,5,5,10
5,10,10,10,2
6,5,7,7,8
6,10,6,8,10
6,10,8,2,7
5,10,6,4,10
10,10,8,4,8
6,7,5,5,4
8,6,8,4,5
4,7,7,4,5
0,4,4,5,8
7,4,4,4,6
3,8,8,6,8
